,word,frequency,decade,count,freq_entropy
2345367,semi,4.350642999326956e-07,1950,18.0,1.1713609210098055
1801124,semi,2.880390073945374e-07,1930,18.0,1.1713609210098055
2929040,semi,5.372297532879804e-07,1970,18.0,1.1713609210098055
1160685,semi,2.1544106624713685e-07,1900,18.0,1.1713609210098055
3238056,semi,4.293532417926201e-07,1980,18.0,1.1713609210098055
3514136,semi,2.03567382669698e-06,1990,18.0,1.1713609210098055
1506081,semi,2.3837463133907963e-05,1920,18.0,1.1713609210098055
819679,semi,1.3993119489859372e-07,1880,18.0,1.1713609210098055
3824198,semi,1.3197480148554609e-06,2000,18.0,1.1713609210098055
486426,semi,1.6801146779074552e-07,1860,18.0,1.1713609210098055
639233,semi,2.53858110172592e-07,1870,18.0,1.1713609210098055
335723,semi,1.1495048278053262e-07,1850,18.0,1.1713609210098055
1336538,semi,9.953878290197442e-07,1910,18.0,1.1713609210098055
2083484,semi,2.4557642168385776e-07,1940,18.0,1.1713609210098055
137206,ishmael,1.712930358139836e-05,1840,18.0,1.207780813501432
960924,ishmael,6.509703456968721e-07,1890,18.0,1.207780813501432
1790510,ishmael,4.937811555334927e-07,1930,18.0,1.207780813501432
3216790,ishmael,1.249027612487622e-06,1980,18.0,1.207780813501432
1349370,ishmael,4.1474492875822673e-07,1910,18.0,1.207780813501432
1134824,ishmael,8.617642649885474e-07,1900,18.0,1.207780813501432
1558058,ishmael,2.2105839073175854e-07,1920,18.0,1.207780813501432
593748,ishmael,7.234956139918873e-05,1870,18.0,1.207780813501432
790506,ishmael,5.130810479615104e-07,1880,18.0,1.207780813501432
3541689,ishmael,4.4106266245101246e-07,1990,18.0,1.207780813501432
3836060,ishmael,6.912965792100032e-07,2000,18.0,1.207780813501432
12822,ishmael,3.4928745359466687e-06,1830,18.0,1.207780813501432
454694,ishmael,7.280496937598973e-07,1860,18.0,1.207780813501432
2930830,ishmael,4.959043876504434e-07,1970,18.0,1.207780813501432
299628,ishmael,1.3794057933663915e-06,1850,18.0,1.207780813501432
2040010,ishmael,4.256657975853535e-06,1940,18.0,1.207780813501432
2365091,ishmael,1.977564999694071e-07,1950,18.0,1.207780813501432
2646131,ishmael,3.666749508044441e-07,1960,18.0,1.207780813501432
3494555,$,0.0002456719029852,1990,18.0,1.2270562215003562
431229,$,1.1872810390546018e-05,1860,18.0,1.2270562215003562
3799213,$,5.772326436403527e-05,2000,18.0,1.2270562215003562
2047935,$,1.8418231626289328e-06,1940,18.0,1.2270562215003562
2327691,$,1.226090299810324e-06,1950,18.0,1.2270562215003562
1333681,$,1.24423478627468e-06,1910,18.0,1.2270562215003562
1773709,$,1.440195036972687e-06,1930,18.0,1.2270562215003562
2624665,$,1.2222498360148136e-06,1960,18.0,1.2270562215003562
1529959,$,1.0316058234148732e-06,1920,18.0,1.2270562215003562
14080,$,2.993892459382859e-06,1830,18.0,1.2270562215003562
957067,$,8.369618730388356e-07,1890,18.0,1.2270562215003562
3204112,$,3.4348259343409604e-06,1980,18.0,1.2270562215003562
2906466,$,2.4381965726146804e-06,1970,18.0,1.2270562215003562
787611,$,6.53012242860104e-07,1880,18.0,1.2270562215003562
140129,$,8.624128539245704e-06,1840,18.0,1.2270562215003562
597412,$,1.431759741373419e-05,1870,18.0,1.2270562215003562
1127634,$,1.5511756769793852e-06,1900,18.0,1.2270562215003562
290079,$,4.3106431042699735e-06,1850,18.0,1.2270562215003562
782189,wer,9.79518364290156e-07,1880,18.0,1.236746587420496
1155224,wer,2.585292794965643e-07,1900,18.0,1.236746587420496
309742,wer,5.747524139026632e-07,1850,18.0,1.236746587420496
160321,wer,7.731977311047872e-07,1840,18.0,1.236746587420496
623226,wer,6.092594644142209e-07,1870,18.0,1.236746587420496
2384106,wer,1.1865389998164425e-07,1950,18.0,1.236746587420496
952434,wer,1.2554428095582534e-06,1890,18.0,1.236746587420496
2934596,wer,4.1325365637536953e-07,1970,18.0,1.236746587420496
1540837,wer,5.158029117074366e-07,1920,18.0,1.236746587420496
32747,wer,4.989820765638098e-07,1830,18.0,1.236746587420496
458942,wer,5.600382259691518e-07,1860,18.0,1.236746587420496
3192922,wer,2.564409816888649e-05,1980,18.0,1.236746587420496
2072785,wer,3.6836463252578667e-07,1940,18.0,1.236746587420496
3911186,wer,6.284514356454576e-08,2000,18.0,1.236746587420496
3556920,wer,2.374952797813144e-07,1990,18.0,1.236746587420496
2644090,wer,4.074166120049379e-07,1960,18.0,1.236746587420496
1349517,wer,4.1474492875822673e-07,1910,18.0,1.236746587420496
1786879,wer,5.760780147890748e-07,1930,18.0,1.236746587420496
3552498,remus,2.7142317689293066e-07,1990,18.0,1.2571711944541089
466570,remus,3.3602293558149105e-07,1860,18.0,1.2571711944541089
616866,remus,1.0662040627248863e-06,1870,18.0,1.2571711944541089
1353660,remus,3.317959430065814e-07,1910,18.0,1.2571711944541089
3253383,remus,2.341926773414291e-07,1980,18.0,1.2571711944541089
759292,remus,2.887246988074317e-05,1880,18.0,1.2571711944541089
1804467,remus,2.468905777667464e-07,1930,18.0,1.2571711944541089
2067870,remus,4.911528433677155e-07,1940,18.0,1.2571711944541089
