,word,frequency,decade,count,freq_entropy
2751329,brutus,7.333499016088881e-07,1960,20.0,1.0675682787602248
45754,brutus,3.1303692057043864e-06,1820,20.0,1.0675682787602248
264439,brutus,3.509128164244803e-06,1840,20.0,1.0675682787602248
134828,brutus,2.2810609214345597e-06,1830,20.0,1.0675682787602248
728680,brutus,2.030864881380736e-06,1870,20.0,1.0675682787602248
3631223,brutus,2.3410249007015277e-06,1990,20.0,1.0675682787602248
1063844,brutus,2.464387737281016e-06,1890,20.0,1.0675682787602248
906895,brutus,6.063685112272395e-07,1880,20.0,1.0675682787602248
1629460,brutus,7.62651448024567e-06,1920,20.0,1.0675682787602248
2191858,brutus,3.6836463252578667e-07,1940,20.0,1.0675682787602248
419808,brutus,1.2069800691955929e-06,1850,20.0,1.0675682787602248
3954986,brutus,6.598740074277303e-07,2000,20.0,1.0675682787602248
3363503,brutus,3.122569031219055e-07,1980,20.0,1.0675682787602248
