word,delta_freq,first_use
innocent,0.46388957307906953,1830
prayer,0.4641122408747508,1830
mississippi,0.4652642579696989,1830
height,0.46535653962124296,1830
mounted,0.4655244940750858,1830
appears,0.4661217630020324,1830
fruit,0.4663150371987274,1830
hour,0.467143568587199,1830
excited,0.46822987886252937,1830
consequences,0.46862882173043835,1830
very,0.46892667106317876,1830
severe,0.47003519859386883,1830
habit,0.4701178627098289,1830
wilderness,0.47020099584205005,1830
pour,0.47040331985058803,1830
taste,0.47084451910278474,1830
extend,0.47089519022567505,1830
literature,0.4711769665437518,1830
wicked,0.47136485969314423,1830
credit,0.4716099885524278,1830
prey,0.47275643603684386,1830
properly,0.4729635219521432,1830
earth,0.47308482204327224,1830
opposed,0.47359408032770084,1830
however,0.4737392976500928,1830
contest,0.4739929393569053,1830
norman,0.47557789997431327,1830
spite,0.4758136418492848,1830
disappointment,0.4763449950005656,1830
any,0.47634601758132006,1830
d.,0.4766935968020784,1830
ancient,0.4767356906674646,1830
useless,0.476962143418936,1830
dim,0.4770231085049369,1830
states,0.47752022908171526,1830
strangers,0.47761921543664554,1830
territory,0.47766161535811974,1830
swear,0.47789119904507427,1830
assistance,0.4783747068831147,1830
affected,0.4790509327523341,1830
sight,0.47920889212139156,1830
prepared,0.4793070010434939,1830
twilight,0.4799968499220928,1830
excellent,0.48004043547973474,1830
acknowledge,0.4800716274341542,1830
guilty,0.48014033114030913,1830
christ,0.4803128452149974,1830
law,0.48039879000750496,1830
marble,0.4806561862544034,1830
fear,0.48084738815039213,1830
aloud,0.4809810128320036,1830
am,0.48115536888754756,1830
author,0.48140782300108564,1830
delicate,0.48213969300210213,1830
nevertheless,0.48241337683918945,1830
lovely,0.4826061293384473,1830
recommend,0.48308321490621586,1830
mutual,0.4831820049297141,1830
besides,0.483426358601046,1830
proud,0.4834727981440435,1830
accomplish,0.4837113851940554,1830
sinking,0.4838896648985267,1830
charge,0.48448280179053255,1830
courts,0.4845765001147482,1830
natural,0.48510497410341263,1830
performed,0.4857412429350573,1830
robinson,0.48584276284082795,1830
charm,0.4860250678175037,1830
mysterious,0.4867001562123609,1830
placing,0.48670633901801247,1830
freedom,0.4875179047963201,1830
characters,0.4876631705064741,1830
continued,0.4878905964139174,1830
absolute,0.4880116396239459,1830
suitable,0.48864363020975526,1830
orders,0.48889351653258517,1830
strange,0.48947749087598974,1830
suited,0.4896570273528275,1830
draw,0.4897498899545828,1830
constructed,0.4900663312110753,1830
cast,0.49063659219006234,1830
henry,0.49065414845671035,1830
guilt,0.4908470522886372,1830
presence,0.49107530355443835,1830
movements,0.4912586328697476,1830
produce,0.4915877557969077,1830
scholar,0.4924136683044881,1830
appeared,0.49242085997505947,1830
belong,0.4930838012227032,1830
hollow,0.49312975319423796,1830
party,0.4931459002063198,1830
ordinary,0.4931705847193917,1830
wounded,0.49345734006085656,1830
douglas,0.494660209135076,1830
broad,0.49469894670775966,1830
hurried,0.49473818373186573,1830
examine,0.4955784426644826,1830
judge,0.49561597230733684,1830
preparation,0.49578297448273717,1830
painful,0.4958280643358111,1830
concluded,0.4961920056624649,1830
strict,0.496836545564708,1830
capital,0.4977199847607771,1830
aim,0.4978074937039885,1830
cottage,0.49886698847360367,1830
creature,0.49888797629728177,1830
regulations,0.4992886849980953,1830
rested,0.4993964825119813,1830
government,0.4996105794850002,1830
regions,0.500213825363883,1830
de,0.5012987071862067,1830
without,0.5016874850360648,1830
unconscious,0.5018899936792968,1830
venture,0.5019553416182958,1830
warfare,0.5019939457388435,1830
jealous,0.5037867812593393,1830
suffering,0.5041873750739541,1830
lovers,0.5051266397201353,1830
lately,0.5053404000337822,1830
speech,0.5057277406049447,1830
tear,0.5060601873119538,1830
interesting,0.5063001299463317,1830
every,0.5064479296891216,1830
vast,0.5065892600817898,1830
value,0.5072373756515623,1830
exhausted,0.5072496741040445,1830
strangely,0.5076515715487839,1830
kingdom,0.5083500673214711,1830
relations,0.509573932918304,1830
s.,0.5098040039350069,1830
scene,0.5098270310149857,1830
comparison,0.510361724750253,1830
greatest,0.5106088939222262,1830
distance,0.5108872881116945,1830
chains,0.5111842528215059,1830
approached,0.5114028188259699,1830
calmly,0.5125028155371825,1830
act,0.5130107619899419,1830
tale,0.5130206539013121,1830
blows,0.5130537621855146,1830
canal,0.5135249278043009,1830
witnesses,0.5140788242282802,1830
sole,0.5144683364316102,1830
limits,0.5152272768948509,1830
hundred,0.5156015950921639,1830
order,0.515787362605237,1830
tears,0.5163741325633306,1830
sudden,0.5163814507908229,1830
christian,0.5165782425023789,1830
referred,0.5173319918875385,1830
readers,0.5174153415732581,1830
flame,0.5178114132703799,1830
curious,0.5181936334572234,1830
bowed,0.518319092257205,1830
quarter,0.5186040395316729,1830
